எருசலேம் என் ஆலயம்,1
உம்மண்டை கர்த்தரே,2
பிளவுண்ட மலையே,3
பாவ சஞ்சலத்தை நீக்க,4
புல்லைப்போல் எல்லாரும் வாடி,5
கர்த்தாவை நல்ல பக்தியாலே,6
என்றும் கர்த்தாவுடன்,7
சேதம் அற யாவும் வர,8
என்னோடிரும் மா நேச கர்த்தரே,9
நான் தூதனகவேண்டும்,10
தேவ பிதா என்றன் மேய்ப்பன் அல்லோ,11
தேவனே நான் உமதண்டையில்,12
ஒருபோதும் மறவாத உண்மைப் பிதாவிருக்க,13
அழகாய் நிற்கும் யார் இவர்கள்,14
காலமோ செல்லுதே,15
மரித்தோர் எவரும் உயிர்த்தெழுவார்,16
உச்சித மோட்ச பட்டணம் போக,17
என் மீட்பர் உயிரோடிருக்கையிலே,18
தேவலோகமதில் சேவிப்பார்,19
ஜோதி தோன்றும் ஓர் தேசமுண்டு,20
பரலோகமே என் சொந்தமே,21
இன்ப இயேசு ராஜாவை,22
